Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,Stat Total,Cluster_KMeans,Archetype
346,Cradily,Rock,Grass,86,81,97,81,107,43,495,0,Hybrids/Utility
347,Anorith,Rock,Bug,45,95,50,40,50,75,355,1,Balanced/Mixed
348,Armaldo,Rock,Bug,75,125,100,70,80,45,495,2,Hybrids/Utility
349,Feebas,Water,,20,15,20,10,55,80,200,1,Balanced/Mixed
350,Milotic,Water,,95,60,79,100,125,81,540,0,Hybrids/Utility
351,Castform,Normal,,70,70,70,70,70,70,420,1,Balanced/Mixed
352,Kecleon,Normal,,60,90,70,60,120,40,440,0,Hybrids/Utility
353,Shuppet,Ghost,,44,75,35,63,33,45,295,1,Balanced/Mixed
354,Banette,Ghost,,64,115,65,83,63,65,455,2,Hybrids/Utility
355,Duskull,Ghost,,20,40,90,30,90,25,295,1,Balanced/Mixed
356,Dusclops,Ghost,,40,70,130,60,130,25,455,2,Hybrids/Utility
357,Tropius,Grass,Flying,99,68,83,72,87,51,460,0,Hybrids/Utility
358,Chimecho,Psychic,,75,50,80,95,90,65,455,0,Hybrids/Utility
359,Absol,Dark,,65,130,60,75,60,75,465,2,Hybrids/Utility
360,Wynaut,Psychic,,95,23,48,23,48,23,260,1,Balanced/Mixed
361,Snorunt,Ice,,50,50,50,50,50,50,300,1,Balanced/Mixed
362,Glalie,Ice,,80,80,80,80,80,80,480,0,Hybrids/Utility
363,Spheal,Ice,Water,70,40,50,55,50,25,290,1,Balanced/Mixed
364,Sealeo,Ice,Water,90,60,70,75,70,45,410,0,Hybrids/Utility
365,Walrein,Ice,Water,110,80,90,95,90,65,530,0,Hybrids/Utility
366,Clamperl,Water,,35,64,85,74,55,32,345,1,Balanced/Mixed
367,Huntail,Water,,55,104,105,94,75,52,485,2,Hybrids/Utility
368,Gorebyss,Water,,55,84,105,114,75,52,485,0,Hybrids/Utility
369,Relicanth,Water,Rock,100,90,130,45,65,55,485,2,Hybrids/Utility
370,Luvdisc,Water,,43,30,55,40,65,97,330,1,Balanced/Mixed
371,Bagon,Dragon,,45,75,60,40,30,50,300,1,Balanced/Mixed
372,Shelgon,Dragon,,65,95,100,60,50,50,420,2,Hybrids/Utility
373,Salamence,Dragon,Flying,95,135,80,110,80,100,600,2,Hybrids/Utility
374,Beldum,Steel,Psychic,40,55,80,35,60,30,300,1,Balanced/Mixed
375,Metang,Steel,Psychic,60,75,100,55,80,50,420,2,Hybrids/Utility
376,Metagross,Steel,Psychic,80,135,130,95,90,70,600,2,Hybrids/Utility
377,Regirock,Rock,,80,100,200,50,100,50,580,2,Hybrids/Utility
378,Regice,Ice,,80,50,100,100,200,50,580,0,Hybrids/Utility
379,Registeel,Steel,,80,75,150,75,150,50,580,0,Hybrids/Utility
380,Latias,Dragon,Psychic,80,80,90,110,130,110,600,0,Hybrids/Utility
381,Latios,Dragon,Psychic,80,90,80,130,110,110,600,0,Hybrids/Utility
382,Kyogre,Water,,100,100,90,150,140,90,670,0,Hybrids/Utility
383,Groudon,Ground,,100,150,140,100,90,90,670,2,Hybrids/Utility
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,680,0,Hybrids/Utility
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,600,0,Hybrids/Utility
386,Deoxys,Psychic,,50,150,50,150,50,150,600,0,Hybrids/Utility
387,Turtwig,Grass,,55,68,64,45,55,31,318,1,Balanced/Mixed
388,Grotle,Grass,,75,89,85,55,65,36,405,2,Hybrids/Utility
389,Torterra,Grass,Ground,95,109,105,75,85,56,525,2,Hybrids/Utility
390,Chimchar,Fire,,44,58,44,58,44,61,309,1,Balanced/Mixed
391,Monferno,Fire,Fighting,64,78,52,78,52,81,405,1,Balanced/Mixed
392,Infernape,Fire,Fighting,76,104,71,104,71,108,534,0,Hybrids/Utility
393,Piplup,Water,,53,51,53,61,56,40,314,1,Balanced/Mixed
394,Prinplup,Water,,64,66,68,81,76,50,405,0,Hybrids/Utility
395,Empoleon,Water,Steel,84,86,88,111,101,60,530,0,Hybrids/Utility
396,Starly,Normal,Flying,40,55,30,30,30,60,245,1,Balanced/Mixed
397,Staravia,Normal,Flying,55,75,50,40,40,80,340,1,Balanced/Mixed
398,Staraptor,Normal,Flying,85,120,70,50,60,100,485,2,Hybrids/Utility
399,Bidoof,Normal,,59,45,40,35,40,31,250,1,Balanced/Mixed
400,Bibarel,Normal,Water,79,85,60,55,60,71,410,2,Hybrids/Utility
401,Kricketot,Bug,,37,25,41,25,41,25,194,1,Balanced/Mixed
402,Kricketune,Bug,,77,85,51,55,51,65,384,1,Balanced/Mixed
403,Shinx,Electric,,45,65,34,40,34,45,263,1,Balanced/Mixed
404,Luxio,Electric,,60,85,49,60,49,60,363,1,Balanced/Mixed
405,Luxray,Electric,,80,120,79,95,79,70,523,2,Hybrids/Utility
406,Budew,Grass,Poison,40,30,35,50,70,55,280,1,Balanced/Mixed
407,Roserade,Grass,Poison,60,70,65,125,105,90,515,0,Hybrids/Utility
408,Cranidos,Rock,,67,125,40,30,30,58,350,2,Hybrids/Utility
409,Rampardos,Rock,,97,165,60,65,50,58,495,2,Hybrids/Utility
410,Shieldon,Rock,Steel,30,42,118,42,88,30,350,1,Balanced/Mixed
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,495,2,Hybrids/Utility
412,Burmy,Bug,,40,29,45,29,45,36,224,1,Balanced/Mixed
413,Wormadam,Bug,Grass,60,59,85,79,105,36,424,0,Hybrids/Utility
414,Mothim,Bug,Flying,70,94,50,94,50,66,424,0,Hybrids/Utility
415,Combee,Bug,Flying,30,30,42,30,42,70,244,1,Balanced/Mixed
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474,0,Hybrids/Utility
417,Pachirisu,Electric,,60,45,70,45,90,95,405,1,Balanced/Mixed
418,Buizel,Water,,55,65,35,60,30,85,330,1,Balanced/Mixed
419,Floatzel,Water,,85,105,55,85,50,115,495,2,Hybrids/Utility
420,Cherubi,Grass,,45,35,45,62,53,35,275,1,Balanced/Mixed
421,Cherrim,Grass,,70,60,70,87,78,85,450,0,Hybrids/Utility
422,Shellos,Water,,76,48,48,57,62,34,325,1,Balanced/Mixed
423,Gastrodon,Water,Ground,111,83,68,92,82,39,475,0,Hybrids/Utility
424,Ambipom,Normal,,75,100,66,60,66,115,482,2,Hybrids/Utility
425,Drifloon,Ghost,Flying,90,50,34,60,44,70,348,1,Balanced/Mixed
426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498,0,Hybrids/Utility
427,Buneary,Normal,,55,66,44,44,56,85,350,1,Balanced/Mixed
428,Lopunny,Normal,,65,76,84,54,96,105,480,2,Hybrids/Utility
429,Mismagius,Ghost,,60,60,60,105,105,105,495,0,Hybrids/Utility
430,Honchkrow,Dark,Flying,100,125,52,105,52,71,505,2,Hybrids/Utility
431,Glameow,Normal,,49,55,42,42,37,85,310,1,Balanced/Mixed
432,Purugly,Normal,,71,82,64,64,59,112,452,2,Hybrids/Utility
433,Chingling,Psychic,,45,30,50,65,50,45,285,1,Balanced/Mixed
434,Stunky,Poison,Dark,63,63,47,41,41,74,329,1,Balanced/Mixed
435,Skuntank,Poison,Dark,103,93,67,71,61,84,479,2,Hybrids/Utility
436,Bronzor,Steel,Psychic,57,24,86,24,86,23,300,1,Balanced/Mixed
437,Bronzong,Steel,Psychic,67,89,116,79,116,33,500,2,Hybrids/Utility
438,Bonsly,Rock,,50,80,95,10,45,10,290,1,Balanced/Mixed
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,310,1,Balanced/Mixed
440,Happiny,Normal,,100,5,5,15,65,30,220,1,Balanced/Mixed
441,Chatot,Normal,Flying,76,65,45,92,42,91,411,0,Hybrids/Utility
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35,485,0,Hybrids/Utility
443,Gible,Dragon,Ground,58,70,45,40,45,42,300,1,Balanced/Mixed
444,Gabite,Dragon,Ground,68,90,65,50,55,82,410,2,Hybrids/Utility
445,Garchomp,Dragon,Ground,108,130,95,80,85,102,600,2,Hybrids/Utility
446,Munchlax,Normal,,135,85,40,40,85,5,390,1,Balanced/Mixed
447,Riolu,Fighting,,40,70,40,35,40,60,285,1,Balanced/Mixed
448,Lucario,Fighting,Steel,70,110,70,115,70,90,525,0,Hybrids/Utility
449,Hippopotas,Ground,,68,72,78,38,42,32,330,1,Balanced/Mixed
450,Hippowdon,Ground,,108,112,118,68,72,47,525,2,Hybrids/Utility
451,Skorupi,Poison,Bug,40,50,90,30,55,65,330,1,Balanced/Mixed
452,Drapion,Poison,Dark,70,90,110,60,75,95,500,2,Hybrids/Utility
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,300,1,Balanced/Mixed
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,2,Hybrids/Utility
455,Carnivine,Grass,,74,100,72,90,72,46,454,2,Hybrids/Utility
456,Finneon,Water,,49,49,56,49,61,66,330,1,Balanced/Mixed
457,Lumineon,Water,,69,69,76,69,86,91,460,0,Hybrids/Utility
458,Mantyke,Water,Flying,45,20,50,60,120,50,345,1,Balanced/Mixed
459,Snover,Grass,Ice,60,62,50,62,60,40,334,1,Balanced/Mixed
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,0,Hybrids/Utility
461,Weavile,Dark,Ice,70,120,65,45,85,125,510,2,Hybrids/Utility
462,Magnezone,Electric,Steel,70,70,115,130,90,60,535,0,Hybrids/Utility
463,Lickilicky,Normal,,110,85,95,80,95,50,515,0,Hybrids/Utility
464,Rhyperior,Ground,Rock,115,140,130,55,55,40,535,2,Hybrids/Utility
465,Tangrowth,Grass,,100,100,125,110,50,50,535,2,Hybrids/Utility
466,Electivire,Electric,,75,123,67,95,85,95,540,0,Hybrids/Utility
467,Magmortar,Fire,,75,95,67,125,95,83,540,0,Hybrids/Utility
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,545,0,Hybrids/Utility
469,Yanmega,Bug,Flying,86,76,86,116,56,95,515,0,Hybrids/Utility
470,Leafeon,Grass,,65,110,130,60,65,95,525,2,Hybrids/Utility
471,Glaceon,Ice,,65,60,110,130,95,65,525,0,Hybrids/Utility
472,Gliscor,Ground,Flying,75,95,125,45,75,95,510,2,Hybrids/Utility
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530,2,Hybrids/Utility
474,Porygon-Z,Normal,,85,80,70,135,75,90,535,0,Hybrids/Utility
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518,2,Hybrids/Utility
476,Probopass,Rock,Steel,60,55,145,75,150,40,525,0,Hybrids/Utility
477,Dusknoir,Ghost,,45,100,135,65,135,45,525,2,Hybrids/Utility
478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,0,Hybrids/Utility
479,Rotom,Electric,Ghost,50,50,77,95,77,91,440,0,Hybrids/Utility
480,Uxie,Psychic,,75,75,130,75,130,95,580,0,Hybrids/Utility
481,Mesprit,Psychic,,80,105,105,105,105,80,580,0,Hybrids/Utility
482,Azelf,Psychic,,75,125,70,125,70,115,580,0,Hybrids/Utility
483,Dialga,Steel,Dragon,100,120,120,150,100,90,680,0,Hybrids/Utility
484,Palkia,Water,Dragon,90,120,100,150,120,100,680,0,Hybrids/Utility
485,Heatran,Fire,Steel,91,90,106,130,106,77,600,0,Hybrids/Utility
486,Regigigas,Normal,,110,160,110,80,110,100,670,2,Hybrids/Utility
487,Giratina,Ghost,Dragon,150,100,120,100,120,90,680,0,Hybrids/Utility
488,Cresselia,Psychic,,120,70,110,75,120,85,580,0,Hybrids/Utility
489,Phione,Water,,80,80,80,80,80,80,480,0,Hybrids/Utility
490,Manaphy,Water,,100,100,100,100,100,100,600,0,Hybrids/Utility
491,Darkrai,Dark,,70,90,90,135,90,125,600,0,Hybrids/Utility
492,Shaymin,Grass,,100,100,100,100,100,100,600,0,Hybrids/Utility
493,Arceus,Normal,,120,120,120,120,120,120,720,0,Hybrids/Utility
494,Victini,Psychic,Fire,100,100,100,100,100,100,600,0,Hybrids/Utility
495,Snivy,Grass,,45,45,55,45,55,63,308,1,Balanced/Mixed
496,Servine,Grass,,60,60,75,60,75,83,413,1,Balanced/Mixed
497,Serperior,Grass,,75,75,95,75,95,113,528,0,Hybrids/Utility
498,Tepig,Fire,,65,63,45,45,45,45,308,1,Balanced/Mixed
499,Pignite,Fire,Fighting,90,93,55,70,55,55,418,2,Hybrids/Utility
500,Emboar,Fire,Fighting,110,123,65,100,65,65,528,2,Hybrids/Utility
501,Oshawott,Water,,55,55,45,63,45,45,308,1,Balanced/Mixed
502,Dewott,Water,,75,75,60,83,60,60,413,1,Balanced/Mixed
503,Samurott,Water,,95,100,85,108,70,70,528,0,Hybrids/Utility
504,Patrat,Normal,,45,55,39,35,39,42,255,1,Balanced/Mixed
505,Watchog,Normal,,60,85,69,60,69,77,420,2,Hybrids/Utility
506,Lillipup,Normal,,45,60,45,25,45,55,275,1,Balanced/Mixed
507,Herdier,Normal,,65,80,65,35,65,60,370,1,Balanced/Mixed
508,Stoutland,Normal,,85,110,90,45,90,80,500,2,Hybrids/Utility
509,Purrloin,Dark,,41,50,37,50,37,66,281,1,Balanced/Mixed
510,Liepard,Dark,,64,88,50,88,50,106,446,0,Hybrids/Utility
511,Pansage,Grass,,50,53,48,53,48,64,316,1,Balanced/Mixed
512,Simisage,Grass,,75,98,63,98,63,101,498,0,Hybrids/Utility
513,Pansear,Fire,,50,53,48,53,48,64,316,1,Balanced/Mixed
514,Simisear,Fire,,75,98,63,98,63,101,498,0,Hybrids/Utility
515,Panpour,Water,,50,53,48,53,48,64,316,1,Balanced/Mixed
516,Simipour,Water,,75,98,63,98,63,101,498,0,Hybrids/Utility
517,Munna,Psychic,,76,25,45,67,55,24,292,1,Balanced/Mixed
518,Musharna,Psychic,,116,55,85,107,95,29,487,0,Hybrids/Utility
519,Pidove,Normal,Flying,50,55,50,36,30,43,264,1,Balanced/Mixed
520,Tranquill,Normal,Flying,62,77,62,50,42,65,358,1,Balanced/Mixed
521,Unfezant,Normal,Flying,80,115,80,65,55,93,488,2,Hybrids/Utility
522,Blitzle,Electric,,45,60,32,50,32,76,295,1,Balanced/Mixed
523,Zebstrika,Electric,,75,100,63,80,63,116,497,2,Hybrids/Utility
524,Roggenrola,Rock,,55,75,85,25,25,15,280,1,Balanced/Mixed
525,Boldore,Rock,,70,105,105,50,40,20,390,2,Hybrids/Utility
526,Gigalith,Rock,,85,135,130,60,80,25,515,2,Hybrids/Utility
527,Woobat,Psychic,Flying,65,45,43,55,43,72,323,1,Balanced/Mixed
528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425,0,Hybrids/Utility
529,Drilbur,Ground,,60,85,40,30,45,68,328,1,Balanced/Mixed
530,Excadrill,Ground,Steel,110,135,60,50,65,88,508,2,Hybrids/Utility
531,Audino,Normal,,103,60,86,60,86,50,445,0,Hybrids/Utility
532,Timburr,Fighting,,75,80,55,25,35,35,305,1,Balanced/Mixed
533,Gurdurr,Fighting,,85,105,85,40,50,40,405,2,Hybrids/Utility
534,Conkeldurr,Fighting,,105,140,95,55,65,45,505,2,Hybrids/Utility
535,Tympole,Water,,50,50,40,50,40,64,294,1,Balanced/Mixed
536,Palpitoad,Water,Ground,75,65,55,65,55,69,384,1,Balanced/Mixed
537,Seismitoad,Water,Ground,105,95,75,85,75,74,509,0,Hybrids/Utility
538,Throh,Fighting,,120,100,85,30,85,45,465,2,Hybrids/Utility
539,Sawk,Fighting,,75,125,75,30,75,85,465,2,Hybrids/Utility
540,Sewaddle,Bug,Grass,45,53,70,40,60,42,310,1,Balanced/Mixed
541,Swadloon,Bug,Grass,55,63,90,50,80,42,380,1,Balanced/Mixed
542,Leavanny,Bug,Grass,75,103,80,70,80,92,500,2,Hybrids/Utility
543,Venipede,Bug,Poison,30,45,59,30,39,57,260,1,Balanced/Mixed
544,Whirlipede,Bug,Poison,40,55,99,40,79,47,360,1,Balanced/Mixed
545,Scolipede,Bug,Poison,60,100,89,55,69,112,485,2,Hybrids/Utility
546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,1,Balanced/Mixed
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,480,0,Hybrids/Utility
548,Petilil,Grass,,45,35,50,70,50,30,280,1,Balanced/Mixed
549,Lilligant,Grass,,70,60,75,110,75,90,480,0,Hybrids/Utility
550,Basculin,Water,,70,92,65,80,55,98,460,2,Hybrids/Utility
551,Sandile,Ground,Dark,50,72,35,35,35,65,292,1,Balanced/Mixed
552,Krokorok,Ground,Dark,60,82,45,45,45,74,351,1,Balanced/Mixed
553,Krookodile,Ground,Dark,95,117,80,65,70,92,519,2,Hybrids/Utility
554,Darumaka,Fire,,70,90,45,15,45,50,315,1,Balanced/Mixed
555,Darmanitan,Fire,,105,140,55,30,55,95,480,2,Hybrids/Utility
556,Maractus,Grass,,75,86,67,106,67,60,461,0,Hybrids/Utility
557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,1,Balanced/Mixed
558,Crustle,Bug,Rock,70,105,125,65,75,45,485,2,Hybrids/Utility
559,Scraggy,Dark,Fighting,50,75,70,35,70,48,348,1,Balanced/Mixed
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,488,2,Hybrids/Utility
561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,490,0,Hybrids/Utility
562,Yamask,Ghost,,38,30,85,55,65,30,303,1,Balanced/Mixed
563,Cofagrigus,Ghost,,58,50,145,95,105,30,483,0,Hybrids/Utility
564,Tirtouga,Water,Rock,54,78,103,53,45,22,355,1,Balanced/Mixed
565,Carracosta,Water,Rock,74,108,133,83,65,32,495,2,Hybrids/Utility
566,Archen,Rock,Flying,55,112,45,74,45,70,401,1,Balanced/Mixed
567,Archeops,Rock,Flying,75,140,65,112,65,110,567,2,Hybrids/Utility
568,Trubbish,Poison,,50,50,62,40,62,65,329,1,Balanced/Mixed
569,Garbodor,Poison,,80,95,82,60,82,75,474,2,Hybrids/Utility
570,Zorua,Dark,,40,65,40,80,40,65,330,1,Balanced/Mixed
571,Zoroark,Dark,,60,105,60,120,60,105,510,0,Hybrids/Utility
572,Minccino,Normal,,55,50,40,40,40,75,300,1,Balanced/Mixed
573,Cinccino,Normal,,75,95,60,65,60,115,470,2,Hybrids/Utility
574,Gothita,Psychic,,45,30,50,55,65,45,290,1,Balanced/Mixed
575,Gothorita,Psychic,,60,45,70,75,85,55,390,1,Balanced/Mixed
576,Gothitelle,Psychic,,70,55,95,95,110,65,490,0,Hybrids/Utility
577,Solosis,Psychic,,45,30,40,105,50,20,290,1,Balanced/Mixed
578,Duosion,Psychic,,65,40,50,125,60,30,370,0,Hybrids/Utility
579,Reuniclus,Psychic,,110,65,75,125,85,30,490,0,Hybrids/Utility
580,Ducklett,Water,Flying,62,44,50,44,50,55,305,1,Balanced/Mixed
581,Swanna,Water,Flying,75,87,63,87,63,98,473,0,Hybrids/Utility
582,Vanillite,Ice,,36,50,50,65,60,44,305,1,Balanced/Mixed
583,Vanillish,Ice,,51,65,65,80,75,59,395,1,Balanced/Mixed
584,Vanilluxe,Ice,,71,95,85,110,95,79,535,0,Hybrids/Utility
585,Deerling,Normal,Grass,60,60,50,40,50,75,335,1,Balanced/Mixed
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95,475,2,Hybrids/Utility
587,Emolga,Electric,Flying,55,75,60,75,60,103,428,0,Hybrids/Utility
588,Karrablast,Bug,,50,75,45,40,45,60,315,1,Balanced/Mixed
589,Escavalier,Bug,Steel,70,135,105,60,105,20,495,2,Hybrids/Utility
590,Foongus,Grass,Poison,69,55,45,55,55,15,294,1,Balanced/Mixed
591,Amoonguss,Grass,Poison,114,85,70,85,80,30,464,0,Hybrids/Utility
592,Frillish,Water,Ghost,55,40,50,65,85,40,335,1,Balanced/Mixed
593,Jellicent,Water,Ghost,100,60,70,85,105,60,480,0,Hybrids/Utility
594,Alomomola,Water,,165,75,80,40,45,65,470,2,Hybrids/Utility
595,Joltik,Bug,Electric,50,47,50,57,50,65,319,1,Balanced/Mixed
596,Galvantula,Bug,Electric,70,77,60,97,60,108,472,0,Hybrids/Utility
597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305,1,Balanced/Mixed
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,489,2,Hybrids/Utility
599,Klink,Steel,,40,55,70,45,60,30,300,1,Balanced/Mixed
600,Klang,Steel,,60,80,95,70,85,50,440,2,Hybrids/Utility
601,Klinklang,Steel,,60,100,115,70,85,90,520,2,Hybrids/Utility
602,Tynamo,Electric,,35,55,40,45,40,60,275,1,Balanced/Mixed
603,Eelektrik,Electric,,65,85,70,75,70,40,405,1,Balanced/Mixed
604,Eelektross,Electric,,85,115,80,105,80,50,515,0,Hybrids/Utility
605,Elgyem,Psychic,,55,55,55,85,55,30,335,1,Balanced/Mixed
606,Beheeyem,Psychic,,75,75,75,125,95,40,485,0,Hybrids/Utility
607,Litwick,Ghost,Fire,50,30,55,65,55,20,275,1,Balanced/Mixed
608,Lampent,Ghost,Fire,60,40,60,95,60,55,370,1,Balanced/Mixed
609,Chandelure,Ghost,Fire,60,55,90,145,90,80,520,0,Hybrids/Utility
610,Axew,Dragon,,46,87,60,30,40,57,320,1,Balanced/Mixed
611,Fraxure,Dragon,,66,117,70,40,50,67,410,2,Hybrids/Utility
612,Haxorus,Dragon,,76,147,90,60,70,97,540,2,Hybrids/Utility
613,Cubchoo,Ice,,55,70,40,60,40,40,305,1,Balanced/Mixed
614,Beartic,Ice,,95,130,80,70,80,50,505,2,Hybrids/Utility
615,Cryogonal,Ice,,80,50,50,95,135,105,515,0,Hybrids/Utility
616,Shelmet,Bug,,50,40,85,40,65,25,305,1,Balanced/Mixed
617,Accelgor,Bug,,80,70,40,100,60,145,495,0,Hybrids/Utility
618,Stunfisk,Ground,Electric,109,66,84,81,99,32,471,0,Hybrids/Utility
619,Mienfoo,Fighting,,45,85,50,55,50,65,350,1,Balanced/Mixed
620,Mienshao,Fighting,,65,125,60,95,60,105,510,2,Hybrids/Utility
621,Druddigon,Dragon,,77,120,90,60,90,48,485,2,Hybrids/Utility
622,Golett,Ground,Ghost,59,74,50,35,50,35,303,1,Balanced/Mixed
623,Golurk,Ground,Ghost,89,124,80,55,80,55,483,2,Hybrids/Utility
624,Pawniard,Dark,Steel,45,85,70,40,40,60,340,1,Balanced/Mixed
625,Bisharp,Dark,Steel,65,125,100,60,70,70,490,2,Hybrids/Utility
626,Bouffalant,Normal,,95,110,95,40,95,55,490,2,Hybrids/Utility
627,Rufflet,Normal,Flying,70,83,50,37,50,60,350,1,Balanced/Mixed
628,Braviary,Normal,Flying,100,123,75,57,75,80,510,2,Hybrids/Utility
629,Vullaby,Dark,Flying,70,55,75,45,65,60,370,1,Balanced/Mixed
630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,510,2,Hybrids/Utility
631,Heatmor,Fire,,85,97,66,105,66,65,484,0,Hybrids/Utility
632,Durant,Bug,Steel,58,109,112,48,48,109,484,2,Hybrids/Utility
633,Deino,Dark,Dragon,52,65,50,45,50,38,300,1,Balanced/Mixed
634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420,2,Hybrids/Utility
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,600,0,Hybrids/Utility
636,Larvesta,Bug,Fire,55,85,55,50,55,60,360,1,Balanced/Mixed
637,Volcarona,Bug,Fire,85,60,65,135,105,100,550,0,Hybrids/Utility
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,580,2,Hybrids/Utility
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,580,2,Hybrids/Utility
640,Virizion,Grass,Fighting,91,90,72,90,129,108,580,0,Hybrids/Utility
641,Tornadus,Flying,,79,115,70,125,80,111,580,0,Hybrids/Utility
642,Thundurus,Electric,Flying,79,115,70,125,80,111,580,0,Hybrids/Utility
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,680,0,Hybrids/Utility
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,680,2,Hybrids/Utility
645,Landorus,Ground,Flying,89,125,90,115,80,101,600,0,Hybrids/Utility
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,660,0,Hybrids/Utility
647,Keldeo,Water,Fighting,91,72,90,129,90,108,580,0,Hybrids/Utility
648,Meloetta,Normal,Psychic,100,77,77,128,128,90,600,0,Hybrids/Utility
649,Genesect,Bug,Steel,71,120,95,120,95,99,600,0,Hybrids/Utility
650,Chespin,Grass,,56,61,65,48,45,38,313,1,Balanced/Mixed
651,Quilladin,Grass,,61,78,95,56,58,57,405,2,Hybrids/Utility
652,Chesnaught,Grass,Fighting,88,107,122,74,75,64,530,2,Hybrids/Utility
653,Fennekin,Fire,,40,45,40,62,60,60,307,1,Balanced/Mixed
654,Braixen,Fire,,59,59,58,90,70,73,409,0,Hybrids/Utility
655,Delphox,Fire,Psychic,75,69,72,114,100,104,534,0,Hybrids/Utility
656,Froakie,Water,,41,56,40,62,44,71,314,1,Balanced/Mixed
657,Frogadier,Water,,54,63,52,83,56,97,405,1,Balanced/Mixed
658,Greninja,Water,Dark,72,95,67,103,71,122,530,0,Hybrids/Utility
659,Bunnelby,Normal,,38,36,38,32,36,57,237,1,Balanced/Mixed
660,Diggersby,Normal,Ground,85,56,77,50,77,78,423,1,Balanced/Mixed
661,Fletchling,Normal,Flying,45,50,43,40,38,62,278,1,Balanced/Mixed
662,Fletchinder,Fire,Flying,62,73,55,56,52,84,382,1,Balanced/Mixed
663,Talonflame,Fire,Flying,78,81,71,74,69,126,499,0,Hybrids/Utility
664,Scatterbug,Bug,,38,35,40,27,25,35,200,1,Balanced/Mixed
665,Spewpa,Bug,,45,22,60,27,30,29,213,1,Balanced/Mixed
666,Vivillon,Bug,Flying,80,52,50,90,50,89,411,0,Hybrids/Utility
667,Litleo,Fire,Normal,62,50,58,73,54,72,369,1,Balanced/Mixed
668,Pyroar,Fire,Normal,86,68,72,109,66,106,507,0,Hybrids/Utility
669,Flabébé,Fairy,,44,38,39,61,79,42,303,1,Balanced/Mixed
670,Floette,Fairy,,54,45,47,75,98,52,371,1,Balanced/Mixed
671,Florges,Fairy,,78,65,68,112,154,75,552,0,Hybrids/Utility
672,Skiddo,Grass,,66,65,48,62,57,52,350,1,Balanced/Mixed
673,Gogoat,Grass,,123,100,62,97,81,68,531,0,Hybrids/Utility
674,Pancham,Fighting,,67,82,62,46,48,43,348,1,Balanced/Mixed
675,Pangoro,Fighting,Dark,95,124,78,69,71,58,495,2,Hybrids/Utility
676,Furfrou,Normal,,75,80,60,65,90,102,472,0,Hybrids/Utility
677,Espurr,Psychic,,62,48,54,63,60,68,355,1,Balanced/Mixed
678,Meowstic,Psychic,,74,48,76,83,81,104,466,0,Hybrids/Utility
679,Honedge,Steel,Ghost,45,80,100,35,37,28,325,1,Balanced/Mixed
680,Doublade,Steel,Ghost,59,110,150,45,49,35,448,2,Hybrids/Utility
681,Aegislash,Steel,Ghost,60,50,140,50,140,60,500,0,Hybrids/Utility
682,Spritzee,Fairy,,78,52,60,63,65,23,341,1,Balanced/Mixed
683,Aromatisse,Fairy,,101,72,72,99,89,29,462,0,Hybrids/Utility
684,Swirlix,Fairy,,62,48,66,59,57,49,341,1,Balanced/Mixed
685,Slurpuff,Fairy,,82,80,86,85,75,72,480,0,Hybrids/Utility
686,Inkay,Dark,Psychic,53,54,53,37,46,45,288,1,Balanced/Mixed
687,Malamar,Dark,Psychic,86,92,88,68,75,73,482,2,Hybrids/Utility
688,Binacle,Rock,Water,42,52,67,39,56,50,306,1,Balanced/Mixed
689,Barbaracle,Rock,Water,72,105,115,54,86,68,500,2,Hybrids/Utility
690,Skrelp,Poison,Water,50,60,60,60,60,30,320,1,Balanced/Mixed
